Director,Genre,Runtime
Lee Unkrich,"Animation, Adventure, Comedy",103 min
Lee Unkrich,"Animation, Adventure, Family",105 min
Lenny Abrahamson,"Drama, Thriller",118 min
Leo McCarey,"Comedy, Musical, War",69 min
Levent Semerci,"Action, Drama, Thriller",128 min
Lewis Milestone,"Drama, War",152 min
Louis Malle,"Drama, War",104 min
Luc Besson,"Action, Adventure, Sci-Fi",126 min
Luc Besson,"Action, Crime, Drama",110 min
Luca Guadagnino,"Drama, Romance",132 min
Luis Buñuel,Comedy,102 min
Luis Buñuel,"Drama, Fantasy",95 min
Luis Buñuel,"Drama, Romance",100 min
Lukas Moodysson,"Crime, Drama",109 min
M. Night Shyamalan,"Drama, Mystery, Thriller",107 min
Majid Majidi,"Drama, Family, Sport",89 min
Makoto Shinkai,"Animation, Drama, Fantasy",106 min
Mamoru Hosoda,"Animation, Adventure, Comedy",98 min
Mamoru Hosoda,"Animation, Drama, Fantasy",117 min
Mamoru Oshii,"Animation, Action, Crime",83 min
Marc Caro,"Comedy, Crime",99 min
Marc Forster,"Biography, Drama, Family",106 min
Marc Webb,"Comedy, Drama, Romance",95 min
Marc Webb,Drama,101 min
Mark Herman,"Drama, History, War",94 min
Mark Osborne,"Animation, Adventure, Drama",108 min
Mark Rydell,Drama,109 min
Martin Brest,Drama,156 min
Martin Campbell,"Action, Adventure, Thriller",144 min
Martin McDonagh,"Comedy, Crime, Drama",115 min107 min
Martin Rosen,"Animation, Adventure, Drama",91 min
Martin Scorsese,"Biography, Crime, Drama",146 min180 min209 min
Martin Scorsese,"Biography, Drama, Sport",129 min
Martin Scorsese,"Comedy, Crime, Drama",109 min97 min
Martin Scorsese,"Crime, Drama",114 min178 min
Martin Scorsese,"Crime, Drama, Thriller",151 min
Martin Scorsese,"Mystery, Thriller",138 min
Martin Zandvliet,"Drama, History, War",100 min
Mary Harron,"Comedy, Crime, Drama",101 min
Masaki Kobayashi,"Action, Drama, Mystery",133 min
Mathieu Kassovitz,"Crime, Drama",98 min
Matt Reeves,"Action, Adventure, Drama",130 min
Matt Ross,"Comedy, Drama",118 min
Matthew Vaughn,"Action, Adventure, Comedy",129 min
Matthew Vaughn,"Action, Adventure, Sci-Fi",131 min
Matthew Vaughn,"Action, Comedy, Crime",117 min
Matthew Vaughn,"Adventure, Family, Fantasy",127 min
Matthew Warchus,"Biography, Comedy, Drama",119 min
Meghna Gulzar,"Action, Drama, Thriller",138 min
Meghna Gulzar,"Crime, Drama, Mystery",132 min
Mehmet Ada Öztekin,Drama,132 min
Mel Brooks,Comedy,106 min
Mel Brooks,"Comedy, Western",93 min
Mel Gibson,"Action, Adventure, Drama",139 min
Mel Gibson,"Biography, Drama, History",178 min139 min
Mel Stuart,"Family, Fantasy, Musical",100 min
Merian C. Cooper,"Adventure, Horror, Sci-Fi",100 min
Michael Cimino,"Drama, War",183 min
Michael Curtiz,"Action, Adventure, Romance",102 min
Michael Curtiz,"Drama, Romance, War",102 min
Michael Haneke,"Crime, Drama, Thriller",108 min
Michael Haneke,"Drama, History, Mystery",144 min
Michael Haneke,"Drama, Romance",127 min
Michael Mann,"Action, Adventure, Drama",112 min
